question,answer
"Question：患者,男性,55岁。昏迷1天收入院,近期无服药史,血糖33.4mmol/L,pH7.35,血
钠150mmol/L,尿酮体(-)。最可能的诊断是
Option A：酮症酸中毒
Option B：乳酸性酸中毒
Option C：高渗性昏迷
Option D：酮症酸中毒+高渗性昏迷
Option E：乳酸性酸中毒+高渗性昏迷",C：高渗性昏迷
"Question：患者,男性,64岁。高血压史25年,糖尿病史2年,未规律服用降糖药物,身高
164cm,体重72kg,血清肌酐146μmol/L,空腹血糖8.5mmol/L,不应采取的药物治疗
方案为
Option A：格列喹酮
Option B：胰岛素
Option C：瑞格列奈
Option D：二甲双胍
Option E：阿卡波糖+中效胰岛素",D：二甲双胍
"Question：患者,女性,28岁。1型糖尿病史,平时使用胰岛素40U/d控制血糖,现妊娠6个月,
突然出现乏力、昏迷入院。下列处理不正确的是
Option A：立即补液治疗
Option B：立即测血酮体、尿酮体
Option C：立即吸氧等对症
Option D：立即皮下注射胰岛素 40U
Option E：立即查电解质和血气分析",D：立即皮下注射胰岛素 40U
"Question：患者,男性,44岁。身高1.62cm,体重56kg,近3个月口渴、多饮,查空腹血糖
6.8mmol/L,无糖尿病家族史。为确定有无糖尿病,最有意义的实验室检查是
Option A：餐后2 小时血糖
Option B：用药后测血糖
Option C：24 小时尿糖定量
Option D：糖化血红蛋白
Option E：口服葡萄糖耐量试验",E：口服葡萄糖耐量试验
"Question：患者,男性,42岁。有10年1型糖尿病病史,平素使用胰岛素治疗,未监测血糖,此
次外出,2 天未应用胰岛素,出现乏力、口渴、萎靡、恶心、呕吐、腹痛。血糖
20.32mmol/L,尿酮体(+++)。血钾3.56mmol/L。血气分析:pH 7.01,HCO?
35.3mmol/L。患者最可能诊断为
Option A：糖尿病酮症酸中毒
Option B：糖尿病高渗性昏迷
Option C：乳酸性酸中毒
Option D：糖尿病合并尿毒症酸中毒
Option E：肺部感染",A：糖尿病酮症酸中毒
"Question：患者,男性,58岁。为糖尿病患者,采用强化胰岛素治疗,常有清晨空腹高血糖,但夜
间多次测定偏低。考虑该患者的表现为
Option A：黎明现象
Option B：夜间胰岛素作用不足
Option C：Somogyi 反应
Option D：胰岛素抵抗
Option E：胰岛素抗药性",C：Somogyi 反应
"Question：患者,女性,60岁。有10年糖尿病史,3天前出现高热、肾绞痛、血尿入院。实验室
检查:尿蛋白(++)、尿糖(+++),尿沉渣中有大量白细胞及脓细胞、坏死的肾乳头
组织。诊断考虑为
Option A：糖尿病
Option B：糖尿病肾病
Option C：糖尿病合并感染
Option D：糖尿病合并肾盂肾炎
Option E：糖尿病合并肾乳头坏死",E：糖尿病合并肾乳头坏死
"Question：患者,男性,54岁。1年前因胃溃疡穿孔行胃大部切除术。近3个月常于清晨空腹时出现
精神症状,进食后缓解。今晨被家人发现神志不清送来急诊。查体:血糖2.2mmol/L,静
脉注射葡萄糖溶液后逐渐清醒。患者发生低血糖症的最可能原因是
Option A：自主神经功能紊乱
Option B：营养不良
Option C：胃大部切除术后
Option D：胰岛素瘤
Option E：低血容量休克",D：胰岛素瘤
"Question：患者,男性,46岁。糖尿病病史8年,口服二甲双胍治疗,血糖控制欠佳。尿微量清蛋
白89mg/24h。初步诊断为
Option A：2 型糖尿病
Option B：2 型糖尿病,糖尿病肾病Ⅱ期
Option C：2型糖尿病,糖尿病肾病Ⅲ期
Option D：2型糖尿病,糖尿病肾病IV期
Option E：2 型糖尿病,糖尿病肾病V期","C：2型糖尿病,糖尿病肾病Ⅲ期"
"Question：患者,男性,54岁。2型糖尿病合并充血性心力衰竭。FPG 6.2mmol/L,餐后2小时血
糖为12.7mmol/L,尿糖(+),尿酮(-)。患者不应使用的降糖药物为
Option A：磺脲类降糖药
Option B：双胍类降糖药
Option C：α-葡萄糖苷酶抑制药
Option D：噻唑烷二酮
Option E：胰岛素",B：双胍类降糖药
"Question：患者,女性,52岁,2型糖尿病。空腹血糖9mmol/L,血清肌酐(Scr)165μmol/L(正
常值<110μmol/L),余均正常。首选治疗药物为
Option A：格列吡嗪
Option B：格列本脲
Option C：格列齐特
Option D：格列喹酮
Option E：二甲双胍",D：格列喹酮
"Question：患者,男性,45岁。饮酒后4小时出现左足关节剧烈疼痛、伴红肿。既往发作2次,每
次发作后5~7天可自行缓解。曾用青霉素治疗,效果不明显。患者最可能的诊断是
Option A：风湿性关节炎
Option B：急性痛风性关节炎
Option C：强直性脊柱炎
Option D：类风湿关节炎
Option E：骨关节炎",B：急性痛风性关节炎
"Question：患者,男性,53岁。午夜突发左踝关节剧痛而惊醒,考虑痛风可能。以下具有特征性诊
断价值的是
Option A：吲哚美辛诊断性治疗
Option B：吗啡类诊断性治疗
Option C：糖皮质激素诊断性治疗
Option D：秋水仙碱诊断性治疗
Option E：硝酸甘油诊断性治疗",D：秋水仙碱诊断性治疗
"Question：患者,女性,29岁。1型糖尿病。因感冒食量减少而中断胰岛素治疗3天,突发昏迷,
Kussmaul 呼吸,皮肤弹性差,脉细速,血压下降,四肢厥冷,尿量减少,血糖
33.3mmol/L,血尿素氮、肌酐偏高,白细胞计数15×10°/L,中性粒细胞占比0.86,尿
糖、尿酮体强阳性。患者可诊断考虑为
Option A：感染性休克
Option B：糖尿病酮症酸中毒
Option C：糖尿病肾病尿毒症昏迷
Option D：糖尿病非酮症高渗性昏迷
Option E：乳酸性酸中毒",B：糖尿病酮症酸中毒
"Question：患者,男性,49岁。肥胖,最近体重略有减轻,无明显“三多”症状,空腹血糖
7.8mmol/L。患者可诊断考虑为
Option A：单纯性肥胖
Option B：皮质醇增多症
Option C：慢性肝病
Option D：糖尿病
Option E：下丘脑综合征",D：糖尿病
"Question：患者,女性,29岁。1型糖尿病史5年。3天前感冒,出现食欲缺乏症状,餐前按常规注
射胰岛素,近中午时突然出现心悸、出汗,继而头晕、视物模糊。急诊处理应采用
Option A：胰岛素静脉注射
Option B：静脉滴注生理盐水
Option C：葡萄糖静注
Option D：碳酸氢钠注射
Option E：急查血糖待结果后处理",C：葡萄糖静注
"Question：患者,男性,61岁。糖尿病。昏迷1天入院,血压80/50mmHg,血糖16mmol/L,血钠
155mmoL/L,尿糖(++++),酮体(+++)。治疗方案是
Option A：小剂量胰岛素及低张盐水静脉滴注
Option B：小剂量胰岛素及等张盐水静脉滴注
Option C：大剂量胰岛素及等张盐水静脉滴注
Option D：氢氯噻嗪排钠
Option E：快速补碱",B：小剂量胰岛素及等张盐水静脉滴注
"Question：患者,女性,66岁。糖尿病病史8年,因双足趾端麻木,大腿皮肤刺痛3月余急诊。查
体:双手骨间肌萎缩,肌力IV级,病理反射(-)。空腹血糖14mmol/L,血酮体(-)。
应考虑的糖尿病慢性并发症是
Option A：周围神经病变
Option B：自主神经病变
Option C：视网膜病变
Option D：脑血管病变
Option E：肝硬化",A：周围神经病变
"Question：患者,男性,54岁。肥胖体型,“三多”症状不明显。空腹血糖6.0mmol/L,餐后2小
时血糖9.2mmol/L,尿糖(-)。患者首选的治疗措施为
Option A：口服降血糖药治疗
Option B：注射胰岛素
Option C：中药制剂治疗
Option D：体育锻炼
Option E：饮食治疗",E：饮食治疗
"Question：患者,男性,66岁。体重76kg,身高160cm。因多饮、多尿确诊为2型糖尿病,经饮食
治疗和运动锻炼,3个月后空腹血糖为8.8mmol/L,餐后2小时血糖13.0mmol/L。进一
步治疗应选择
Option A：加磺脲类降血糖药
Option B：加双胍类降血糖药
Option C：加胰岛素治疗
Option D：加口服降血糖药和胰岛素
Option E：直接胰岛素",B：加双胍类降血糖药
"Question：患者,男性,40岁。患糖尿病10余年,尿蛋白(-),近2个月感觉下腹胀,排尿不畅
伴尿失禁。B超显示膀胱扩大、尿潴留。患者最可能的诊断为
Option A：糖尿病自主神经病变
Option B：糖尿病合并泌尿系感染
Option C：糖尿病合并慢性前列腺炎
Option D：糖尿病肾病
Option E：膀胱癌",A：糖尿病自主神经病变
"Question：患者,女性,29岁。妊娠5个月。既往无糖尿病史。实验室检查:尿糖(+++);空腹
血糖7.7mmol/L,随机血糖16.7mmol/L。患者最可能的诊断为
Option A：肾性糖尿病
Option B：妊娠合并糖尿病
Option C：妊娠糖尿病
Option D：继发性糖尿病
Option E：2 型糖尿病",C：妊娠糖尿病
"Question：患者,男性,43岁。反复发作低血糖症。检查血胰岛素、胰岛素原、诱发试验、C肽抑
制试验,呈自主性胰岛素不适当分泌过多。患者可诊断考虑为
Option A：特发性功能性低血糖症
Option B：胰岛素自身免疫综合征
Option C：伴肿瘤的低血糖症
Option D：胰岛素瘤
Option E：肝源性低血糖症",D：胰岛素瘤
"Question：患者,女性,61岁。身高 160cm,体重 76kg,退休在家,2 型糖尿病患者。FPG
6.7mmol/L,尿糖(±)。制定总热量时,每天每公斤理想体重给予热量
Option A：20~25kcal
Option B：25~30kcal
Option C：30~35kcal
Option D：35~40kcal
Option E：>40kcal",B：25~30kcal
"Question：患者,女性,41岁。常规体检时发现空腹血糖为6.5mmol/L,下列诊治措施不正确的是
Option A：进行口服葡萄糖耐量试验
Option B：进行空腹及餐后2小时血糖测定
Option C：口服降血糖药物治疗
Option D：分析影响血糖结果的因素
Option E：进行24 小时尿糖定量及糖化血红蛋白测定",C：口服降血糖药物治疗
"Question：患者,女性,53岁。10年糖尿病史,使用胰岛素治疗,在无酮症酸中毒也无拮抗胰岛
素因素存在的情况下,每天胰岛素需要量>100U。该患者的表现可为
Option A：胰岛素抗药性
Option B：胰岛素过敏
Option C：胰岛素失效
Option D：胰岛素抵抗
Option E：Somogyi 反应",A：胰岛素抗药性
"Question：患者,女性,65岁。糖尿病病史10年,近3个月应用胰岛素强化治疗,空腹血糖
9.8mmol/L。对临床治疗指导意义最大的检查为
Option A：胰岛素释放指数
Option B：C肽
Option C：睡前血糖
Option D：胰岛素抗体
Option E：凌晨3点血糖",E：凌晨3点血糖
"Question：患者,男性,61 岁。无糖尿病病史。2 天前因发热、腹泻突发抽搐、昏迷。血糖
56.6mmol/L,血钠156.6mmol/L,血浆渗透压356mmol/L,尿糖(++++),尿酮(+)。
患者可诊断考虑为
Option A：感染性昏迷
Option B：应激性高血糖
Option C：脑血管意外
Option D：糖尿病酮症酸中毒
Option E：糖尿病非酮症高渗性昏迷",E：糖尿病非酮症高渗性昏迷
"Question：患者,男性,75岁。因心前区疼痛3小时入院,否认高血压、糖尿病病史。神志不清,
血压70/30mmHg,心率120次/分,血糖16mmol/L,ECG 示心室左侧壁心肌梗死。下列
处理措施正确的是
Option A：皮下注射短效胰岛素,每天3次
Option B：可能是应激性高血糖,可不用处理
Option C：确诊糖尿病,从此必须药物治疗
Option D：口服半衰期短的磺脲类降糖药
Option E：静脉滴注小剂量胰岛素,密切监测血糖,随时调整剂量","E：静脉滴注小剂量胰岛素,密切监测血糖,随时调整剂量"
"Question：患者,男性,58岁。多食、多尿20天,体重由55kg降为48kg,血糖7.8mmol/L,餐后
血糖12.4mmol/L,尿糖(++),尿酮体(-)。患者应选择的治疗措施为
Option A：饮食疗法
Option B：禁食疗法
Option C：双胍类药物
Option D：磺脲类药物
Option E：胰岛素",E：胰岛素
"Question：患者,女性,28岁。1型糖尿病。采用强化胰岛素治疗方案,夜间血糖控制良好,无低
血糖发生,但清晨空腹血糖仍然较高。原因可能是
Option A：糖耐量减低
Option B：夜间胰岛素作用不足
Option C：Somogyi 反应
Option D：反应性高血糖
Option E：黎明现象",E：黎明现象
"Question：患者,女性,56岁。有12余年糖尿病史,尿蛋白(-),近1个月感到下腹胀,排尿不
畅伴尿失禁。B 超显示膀胱扩大,尿潴留。原因应考虑为
Option A：糖尿病自主神经病变
Option B：糖尿病合并泌尿系统感染
Option C：糖尿病周围神经病变
Option D：糖尿病肾病
Option E：糖尿病合并慢性前列腺炎",A：糖尿病自主神经病变
"Question：患者,女性,66岁。糖尿病病史10余年,长期口服降糖药治疗,血糖控制差。查体:
身高158cm,体重76kg,给予人胰岛素(总量60U/d)治疗2周后,血糖仍为11.3~
18.6mmol/L。目前首先考虑患者存在
Option A：胰岛素抵抗
Option B：胰岛素抗药性
Option C：胰岛素过敏
Option D：胰岛素过量
Option E：黎明现象",A：胰岛素抵抗
"Question：患者,女性,24岁。临床诊断为1型糖尿病,经过胰岛素治疗后,经常在清晨3~4时
出现手抖、大汗和饥饿感,自测血糖2.3mmol/L,空腹血糖11mmol/L。患者应注意采取
的措施是
Option A：减少晚餐的热量
Option B：增加睡前中效胰岛素用量
Option C：加用双胍类药物
Option D：减少睡前中效胰岛素用量
Option E：后夜加餐",D：减少睡前中效胰岛素用量
"Question：患者,女性,55岁。身高171cm,体重 85kg,口服葡萄糖耐量试验血糖结果:空腹
6.7mmol/L,1小时后9.8mmol/L,2小时后7.0mmol/L,结果符合
Option A：正常曲线
Option B：空腹血糖受损
Option C：糖耐量减低
Option D：1型糖尿病
Option E：2 型糖尿病",B：空腹血糖受损
"Question：患者,女性,39岁。多次尿糖(+)~(++),OGTT各时间点血糖均在正常范围。患
者可诊断考虑为
Option A：轻型糖尿病
Option B：糖耐量减低
Option C：非葡萄糖糖尿
Option D：肾性糖尿病
Option E：餐后糖尿",D：肾性糖尿病
"Question：患者,男性,51岁。肥胖症伴高血压,糖耐量减低,尿皮质醇、17-羟皮质类固醇排泄
量增高,但可被小剂量地塞米松所抑制。患者诊断可能是
Option A：皮质醇增多症
Option B：甲减
Option C：糖尿病
Option D：肾上腺皮质腺瘤
Option E：单纯性肥胖症",E：单纯性肥胖症
"Question：患者,女性,62岁。确诊2型糖尿病2年,给予合理饮食和运动治疗并口服二甲双胍
500mg,每天3次。查体:身高173cm,体重78kg,血压130/90mmHg,心、肺和腹部检
查未见异常。实验室检查:空腹血糖5.2mmol/L,三餐后2小时血糖分别为11.4mmol/L、
13.1mmol/L和 12.6mmol/L。下一步最合理的治疗是
Option A：禁食
Option B：改用胰岛素制剂
Option C：改用磺脲类降血糖药
Option D：加用磺脲类降血糖药
Option E：加用α-葡萄糖苷酶抑制药",E：加用α-葡萄糖苷酶抑制药
