question,answer
"Question: 血脂异常症的临床分类不包括
Option A: 高胆固醇血症
Option B: 高甘油三酯血症
Option C: 低高密度脂蛋白血症
Option D: 混合型高脂血症
Option E: 多基因性脂蛋白异常血症",E：多基因性脂蛋白异常血症
"Question: 糖尿病酮症酸中毒和糖尿病非酮症高渗性昏迷的主要鉴别症状是
Option A: 神志改变
Option B: 多饮、多尿症状明显
Option C: 血压偏低
Option D: 食欲缺乏、恶心、呕吐
Option E: 局灶性癫痫样抽搐和上肢粗震颤",E：局灶性癫痫样抽搐和上肢粗震颤
"Question: 体重增加时可以发生的变化为
Option A: 使 LDL生成减少
Option B: 减少肝合成载脂蛋白 B
Option C: 减少体内胆固醇合成
Option D: 使肝内胆固醇池缩小
Option E: 抑制 LDL受体的合成和功能",E：抑制 LDL受体的合成和功能
"Question: 妊娠糖尿病(GDM)是指
Option A: 内分泌性糖尿病
Option B: 非胰岛素依赖型糖尿病
Option C: 妊娠糖尿病
Option D: 胰源性糖尿病
Option E: 胰岛素依赖型糖尿病",C：妊娠糖尿病
"Question: 糖尿病患者失明的主要原因是
Option A: 视网膜微血管瘤
Option B: 白内障
Option C: 青光眼
Option D: 视网膜剥离
Option E: 视网膜出血",D：视网膜剥离
"Question: 鉴别是否为索莫吉(Somogyi)反应的最好方法是
Option A: 测早餐前空腹血糖
Option B: 夜间多次测血糖
Option C: 晚餐前测血糖
Option D: 测晚餐后 2 小时血糖
Option E: 睡前监测血糖",B：夜间多次测血糖
"Question: 下列关于胰岛素治疗糖尿病的叙述,不正确的是
Option A: 适用于胰岛素依赖型糖尿病者
Option B: 适用于糖尿病产妇的新生儿
Option C: 适用于并发急性严重代谢紊乱者
Option D: 适用于有严重慢性并发症者
Option E: 适用于成年型糖尿病经饮食及口服降糖药仍控制不良者",B：适用于糖尿病产妇的新生儿
"Question: 抢救糖尿病酮症酸中毒应用碳酸氢盐的指征不包括
Option A: 合并有乳酸性酸中毒
Option B: 酸中毒所诱发的心肺功能不全
Option C: 伴有严重的高血钾
Option D: 出现严重心律失常
Option E: 血碳酸氢根(HCO?-)严重缺乏(<5mmol/L)或二氧化碳结合力(CO?CP)为4.5-6.7mmol/L",D：出现严重心律失常
"Question: 发生糖尿病酮症酸中毒时,补碱原则不正确的是
Option A: 血 pH降至7.1时须补碱
Option B: 血 HCO?￣降至5mmol/L时须补碱
Option C: 补碱过快易致脑细胞酸中毒
Option D: 随代谢紊乱的纠正,代谢性酸中毒会加重,应增加补碱量
Option E: CO?CP>11.2￣13.5mmol/L,无明显酸中毒深大呼吸者,可暂不补碱",A：血 pH降至7.1时须补碱
"Question: IFG 是指
Option A: 糖耐量减低
Option B: 空腹血糖调节受损
Option C: 妊娠糖尿病
Option D: 青年人中的成年发病型糖尿病
Option E: 线粒体 tRNALeu(UUR)基因突变糖尿病",B：空腹血糖调节受损
"Question: 糖尿病酮症酸中毒的补钾原则为
Option A: 治疗酸中毒起初的 2 小时
Option B: 治疗前,血钾正常,每小时尿量20ml 以上
Option C: 治疗前,血钾高于正常
Option D: 治疗前,血钾正常,每小时尿量30ml 以上
Option E: 治疗前,血钾正常,每小时尿量40ml 以上","D：治疗前,血钾正常,每小时尿量30ml 以上"
"Question: 低血糖症发作时血糖低于
Option A: 3.3mmol/L
Option B: 3.0mmol/L
Option C: 2.8mmol/L
Option D: 2.5mmol/L
Option E: 2.2mmol/L",C：2.8mmol/L
"Question: 胰岛素依赖型糖尿病与非胰岛素依赖型糖尿病的最主要的区别在于
Option A: 发病年龄不同
Option B: 发生酮症酸中毒的倾向不同
Option C: 血糖稳定性不同
Option D: 对胰岛素的敏感性不同
Option E: 胰岛素基础水平与释放曲线不同",E：胰岛素基础水平与释放曲线不同
"Question: 糖尿病患者失明的主要原因是
Option A: 白内障
Option B: 视网膜微血管瘤
Option C: 硬性渗出
Option D: 视网膜小静脉扩张
Option E: 增殖性视网膜病变",E：增殖性视网膜病变
"Question: 抢救糖尿病酮症酸中毒,在第1个24小时内补液总量为
Option A: 4000￣6000ml
Option B: 2000￣4000ml
Option C: 1000￣3000ml
Option D: 3000￣4000ml
Option E: 6000￣10 000ml",A：4000￣6000ml
"Question: 糖尿病血糖升高的机制是
Option A: 组织对葡萄糖的利用减少
Option B: 糖异生增多
Option C: 糖原分解增多
Option D: 糖原合成减少
Option E: 以上均有关",E：以上均有关
"Question: 最容易产生抗药性的胰岛素是
Option A: 单峰纯胰岛素
Option B: 猪胰岛素
Option C: 人胰岛素
Option D: 长效胰岛素
Option E: 牛胰岛素",E：牛胰岛素
"Question: TG升高的慢性肾病患者应慎用的药物为
Option A: 胆酸螯合剂
Option B: 非诺贝特
Option C: 氟伐他汀
Option D: 吉非贝齐
Option E: n-3 脂肪酸",A：胆酸螯合剂
"Question: 下列对糖尿病检验结果的解释,叙述正确的是
Option A: 尿糖阴性可以排除糖尿病
Option B: 尿糖阳性可以诊断为糖尿病
Option C: 尿酮阳性仅见于糖尿病
Option D: 空腹血糖正常可以排除糖尿病
Option E: 葡萄糖耐量试验正常,不能排除潜伏糖尿病","E：葡萄糖耐量试验正常,不能排除潜伏糖尿病"
"Question: 对于代谢综合征合并高血压患者,可首选的降压药物为
Option A: 利尿药
Option B: 血管紧张素转化酶抑制药(ACEI)和血管紧张素Ⅱ受体阻断药(ARB)
Option C: 血管扩张药
Option D: 钙通道阻断药
Option E: 以上都是",B：血管紧张素转化酶抑制药(ACEI)和血管紧张素Ⅱ受体阻断药(ARB)
"Question: 磺脲类药物的主要不良反应是
Option A: 恶心、呕吐
Option B: 低血糖
Option C: 肝功能损害
Option D: 白细胞减少
Option E: 皮肤瘙痒",B：低血糖
"Question: 口服阿卡波糖降低餐后高血糖的机制为
Option A: 抑制小肠黏膜上皮细胞α-葡萄糖苷酶
Option B: 抑制蛋白质非酶糖基化
Option C: 增加外周组织对胰岛素的敏感性
Option D: 增加胰岛素分泌
Option E: 抑制肝葡萄糖的输出",A：抑制小肠黏膜上皮细胞α-葡萄糖苷酶
"Question: 引起继发性肥胖症的原因不包括
Option A: 下丘脑-垂体疾病
Option B: 皮质醇增多症
Option C: 甲状腺或性腺功能减退
Option D: 胰岛素瘤
Option E: 合成代谢超过分解代谢",E：合成代谢超过分解代谢
"Question: 最能判断糖尿病血糖控制情况的指标是
Option A: 空腹血糖
Option B: 糖耐量试验
Option C: 餐后2小时血糖
Option D: 糖化血红蛋白
Option E: 胰岛素释放试验",D：糖化血红蛋白
"Question: 可用于特发性功能性低血糖症鉴别诊断的是
Option A: 胰岛素释放指数升高
Option B: 饥饿试验(-)
Option C: 低血糖伴 ACTH升高
Option D: 空腹低血糖伴皮质醇下降
Option E: 餐前有心悸、冷汗等低血糖表现,餐后血糖升高,胰岛素峰值延迟",B：饥饿试验(-)
"Question: 以下并发症不是由糖尿病微血管病变引起的是
Option A: 干性坏疽
Option B: 肾小球硬化症
Option C: 糖尿病神经病变
Option D: 心肌损害
Option E: 糖尿病视网膜病变",A：干性坏疽
"Question: 肥胖患者糖耐量减低的最主要原因是
Option A: 循环中常有大量胰岛素抗体
Option B: 外周组织胰岛素受体数目减少
Option C: 胰岛素分泌不足
Option D: 拮抗胰岛素的激素分泌过多
Option E: 胰岛 B细胞对葡萄糖刺激欠敏感",B：外周组织胰岛素受体数目减少
"Question: 不可以导致渗透压间隙增大的化学物质是
Option A: 氯化钠
Option B: 甘露醇
Option C: 乙醇
Option D: 甲醇
Option E: 乙二醇",A：氯化钠
"Question: 有关糖尿病酮症酸中毒(DKA)的治疗原则,下列叙述不正确的是
Option A: 应用小剂量胰岛素缓缓降低血糖
Option B: 立即补液迅速纠正失水
Option C: 尽早用碱性药迅速纠正酸中毒
Option D: 在治疗开始 2￣6小时后考虑补钾
Option E: 积极治疗诱因",C：尽早用碱性药迅速纠正酸中毒
"Question: 胰岛素瘤患者异常的是
Option A: 胰岛素释放指数升高
Option B: 饥饿试验(-)
Option C: 低血糖伴 ACTH升高
Option D: 空腹低血糖伴皮质醇下降
Option E: 餐前有心慌、冷汗等低血糖表现,餐后血糖升高,胰岛素峰值延迟",A：胰岛素释放指数升高
"Question: 糖尿病患者如须施行择期大手术,应该从()开始使用或改用胰岛素治疗
Option A: 术前1周
Option B: 术前3天
Option C: 术前1天
Option D: 手术当天
Option E: 术前2天",B：术前3天
"Question: V型高脂蛋白血症的表现为
Option A: 血浆乳糜微粒(CM)增加,血脂主要是甘油三酯(TG)升高,总胆固醇(TC)正
Option B: nan
Option C: nan
Option D: nan
Option E: nan",D：nan
"Question: 下列各项诊断胰岛素瘤的方法中,效果不佳的是
Option A: 惠普尔(Whipple)三联征
Option B: 血胰岛素测定
Option C: 术前B超检查
Option D: 选择性动脉造影
Option E: CT 和磁共振成像(MRI)",C：术前B超检查
"Question: 下列各项中,为糖尿病肾病高度特异性病理改变的是
Option A: 肾动脉粥样硬化
Option B: 结节性肾小球硬化性病变
Option C: 渗出性肾小球硬化性病变
Option D: 弥漫性肾小球硬化性病变
Option E: 肾盂、肾盏变形缩窄,肾外形凹凸不平",B：结节性肾小球硬化性病变
"Question: 2型糖尿病的发病机制是
Option A: 胰岛素拮抗激素增多
Option B: 胰岛B细胞自身免疫反应性损伤
Option C: 胰岛B细胞遗传性缺陷
Option D: 胰岛素抵抗和胰岛素分泌缺陷
Option E: 胰岛 B细胞破坏,胰岛素绝对不足",D：胰岛素抵抗和胰岛素分泌缺陷
"Question: 2型糖尿病大血管病变主要侵犯的动脉不包括
Option A: 主动脉
Option B: 冠状动脉
Option C: 脑动脉
Option D: 肾动脉
Option E: 肺动脉",E：肺动脉
"Question: 抢救糖尿病酮症酸中毒的关键是
Option A: 充分补液
Option B: 去除诱因
Option C: 防治并发症
Option D: 立即胰岛素皮下注射
Option E: 纠正电解质及酸碱平衡失调",A：充分补液
"Question: 下列关于尿糖阳性的说法,正确的是
Option A: 肯定伴有糖代谢异常
Option B: 正常人餐后尿糖可阳性
Option C: 可以作为诊断糖尿病的确诊依据
Option D: 肯定伴随血糖升高
Option E: 肾小管不能将管腔液中葡萄糖全部吸收的结果",E：肾小管不能将管腔液中葡萄糖全部吸收的结果
"Question: 下列关于班氏尿糖定性试验阳性的叙述,最为完善的是
Option A: 示尿糖升高
Option B: 示尿中有还原性物质
Option C: 示尿中有葡萄糖
Option D: 可排除糖尿病的低血糖反应
Option E: 可诊断为糖尿病",B：示尿中有还原性物质
"Question: 下列关于1型糖尿病的叙述,不正确的是
Option A: 常不依赖胰岛素治疗
Option B: 容易发生酮症酸中毒的倾向
Option C: 有胰岛B细胞破坏
Option D: 病毒感染常是重要的环境因素
Option E: 与某些特殊 HLA 类型有关,决定其遗传易患性",A：常不依赖胰岛素治疗
"Question: 下列与低血糖的严重程度无关的是
Option A: 低血糖的持续时间
Option B: 患者的性别
Option C: 血糖降低的绝对程度
Option D: 血糖下降的速度
Option E: 机体对低血糖的反应性",B：患者的性别
"Question: 不刺激胰岛素分泌,延缓肠道碳水化合物吸收的口服降糖药为
Option A: 磺脲类药
Option B: 格列奈类药
Option C: 双胍类药
Option D: 噻唑烷二酮类药
Option E: α-葡萄糖苷酶抑制药",E：α-葡萄糖苷酶抑制药
"Question: 糖尿病酮症酸中毒的补碱指征为
Option A: CO?CP 22￣27mmol/L
Option B: CO?CP 118￣22mmol/L
Option C: CO?CP 9￣18mmol/L
Option D: CO?CP<10mmol/L
Option E: CO?CP>27mmol/L",D：CO?CP<10mmol/L
"Question: 欲了解糖尿病患者近8￣12周血糖水平应测定
Option A: 糖化血红蛋白
Option B: 果糖胺
Option C: 血浆胰岛素
Option D: C 肽
Option E: 空腹和餐后2小时血糖",A：糖化血红蛋白
"Question: 下列属于高渗性昏迷临床特点的是
Option A: 皮肤潮湿多汗,呼吸正常
Option B: 多发于青年,有糖尿病史
Option C: 脉搏饱满,血压稍高
Option D: 尿糖强阳性,尿酮阴性
Option E: 起病急速,有嗜睡、幻觉、震颤、抽搐等","D：尿糖强阳性,尿酮阴性"
"Question: 1型糖尿病与2型糖尿病的主要区别是
Option A: 发病年龄
Option B: 起病缓急
Option C: 病情轻重
Option D: 胰岛素依赖情况
Option E: 葡萄糖刺激后胰岛素释放的反应",E：葡萄糖刺激后胰岛素释放的反应
"Question: 血中可直接调节胰岛素分泌的重要因素是
Option A: 游离脂肪酸
Option B: 血糖浓度
Option C: 肾上腺素
Option D: 胃肠道激素
Option E: 血酮体浓度",B：血糖浓度
"Question: 弥漫性肝病患者餐后血糖可高于正常,但与糖尿病的主要区别是
Option A: 同样存在胰岛B细胞功能的缺陷
Option B: 随着时间的延长,也会出现糖尿病的各种微血管并发症
Option C: 餐后2￣3 小时血糖正常或低于正常
Option D: 空腹血糖正常
Option E: 不需要用降糖药",C：餐后2￣3 小时血糖正常或低于正常
"Question: 胰岛素治疗最常见的不良反应是
Option A: 抗体形成
Option B: 注射部位荨麻疹
Option C: 低血糖
Option D: 局部脂肪萎缩
Option E: 变态反应",C：低血糖
"Question: 下列糖尿病患者眼底检查的结果提示增殖性视网膜病变的是
Option A: 机化物增生
Option B: 微血管瘤
Option C: 棉絮状软性渗出
Option D: 黄斑水肿
Option E: 微血管瘤,出血并有硬性渗出",A：机化物增生
"Question: 口服葡萄糖耐量试验(OGTT)中2小时血浆葡萄糖正常值,目前采用的标准为
Option A: <7.0mmol/L
Option B: <7.8mmol/L
Option C: <6.0mmol/L
Option D: <6.1mmol/L
Option E: <11.1mmol/L",B：<7.8mmol/L
"Question: 所有妊娠24￣28周的女性都应进行100g OGTT,试验前夜间至少要空腹
Option A: 5小时
Option B: 6小时
Option C: 7 小时
Option D: 8小时
Option E: 9 小时",D：8小时
"Question: 从量上来说,餐后肝内葡萄糖去路最多的代谢途径是
Option A: 糖酵解
Option B: 糖有氧氧化
Option C: 糖原合成
Option D: 磷酸戊糖途径
Option E: 转变为其他单糖",C：糖原合成
"Question: 调整胰岛素剂量最简便的检查是
Option A: 空腹血糖
Option B: 尿糖
Option C: 糖化血红蛋白
Option D: 葡萄糖耐量试验
Option E: 胰岛素释放试验",B：尿糖
"Question: 糖尿病非酮症高渗性昏迷补液首先考虑使用
Option A: 等张生理盐水
Option B: 低张生理盐水
Option C: 3??化钠溶液
Option D: 5??萄糖溶液
Option E: 胶体溶液",A：等张生理盐水
"Question: 体重指数(BMI)的计算公式为
Option A: BMI=体重(kg)/身高(m)2
Option B: BMI=体重(kg)2/身高(m)
Option C: BMI=体重(kg)2/身高(m)2
Option D: BMI=身高(m)/体重(kg)2
Option E: BMI=身高(m)2/体重(kg)",A：BMI=体重(kg)/身高(m)2
"Question: 下列关于线粒体基因突变糖尿病的特点,叙述不正确的是
Option A: 母系遗传
Option B: 呈典型的2型糖尿病的表现
Option C: 胰岛细胞抗体阴性
Option D: 发病早,胰岛B细胞功能逐渐减退
Option E: 可伴感音神经性聋或神经肌肉表现",B：呈典型的2型糖尿病的表现
"Question: 胰岛素皮下注射时吸收最快的部位是
Option A: 上臂
Option B: 腹部
Option C: 大腿
Option D: 臀部
Option E: 小腿",B：腹部
"Question: 关于α-葡萄糖苷酶抑制药,下列说法不正确的是
Option A: 是1型糖尿病患者的主要治疗药
Option B: 对有肝、肾功能损害者不宜使用
Option C: 常见不良反应为胃肠道反应
Option D: 一般不引起营养吸收障碍
Option E: 是肥胖的2型糖尿病患者首选的降糖药",A：是1型糖尿病患者的主要治疗药
"Question: 诊断早期糖尿病肾病最有意义的检查是
Option A: 尿常规检查
Option B: 微量蛋白尿测定
Option C: 肾穿刺活检
Option D: 肌酐清除率
Option E: 双肾 B超",B：微量蛋白尿测定
"Question: 糖尿病饮食治疗中碳水化合物、蛋白质、脂肪含量占饮食总热量百分比分别为
Option A: 30?0?0?0?0%
Option B: 40??50?5?0?0%
Option C: 55?0?5?0?0%
Option D: 20?0?0?0?0%
Option E: 10?5?0?0?0%",C：55?0?5?0?0%
"Question: 抢救糖尿病酮症酸中毒时,关于胰岛素的使用,下列用法正确的是
Option A: 应使血糖迅速下降至正常
Option B: 可予静脉注射普通胰岛素10￣20U作为首次负荷剂量
Option C: 将普通胰岛素加入生理盐水中按0.1U/(kg・min)持续静脉滴注
Option D: 尿酮体消失后,可停止输液,恢复平时治疗
Option E: 当血糖下降至正常时,改输5??萄糖液并加入普通胰岛素(按每3￣4g葡萄糖加 1U",B：可予静脉注射普通胰岛素10￣20U作为首次负荷剂量
"Question: 糖尿病酮症酸中毒的电解质紊乱表现为
Option A: 高氯性酸中毒,血钾、血钠正常
Option B: 血氯、血钾、血钠均增高
Option C: 血氯偏高或正常,血钠和血钾减低
Option D: 血钾减低,血钠和血氯增高
Option E: 血氯、血钾偏高,血钠偏低","D：血钾减低,血钠和血氯增高"
"Question: 糖尿病最常见的急性并发症是
Option A: 糖尿病酮症酸中毒
Option B: 心血管病变
Option C: 脑血管病变
Option D: 糖尿病肾病
Option E: 糖尿病视网膜病变",A：糖尿病酮症酸中毒
"Question: TG水平在1.70￣2.26mmol/L的高甘油三酯血症患者应采取的治疗措施为
Option A: 非药物治疗加用烟酸类药物治疗
Option B: 非药物治疗加用贝特类药物治疗
Option C: 减轻体重,增加体力活动
Option D: 选用贝特类药物治疗
Option E: 选用贝特类+烟酸类药物治疗","C：减轻体重,增加体力活动"
"Question: 对于家族性醛固酮增多症(FH)的高胆固醇血症重症患者首选的调节血脂药为
Option A: 胆酸螯合剂
Option B: 依折麦布
Option C: 普罗布考
Option D: 烟酸
Option E: 贝特类药物",C：普罗布考
"Question: 下列关于肥胖症的叙述,不正确的是
Option A: 指体内脂肪堆积过多和/或分布异常
Option B: 肥胖症可并发心血管疾病和多种内分泌代谢紊乱
Option C: 患者常具有腹部脂肪积聚过多的特点
Option D: 临床所见肥胖症绝大多数为单纯性肥胖,可伴有器质性疾病
Option E: 继发性肥胖症是由疾病引起的肥胖,是由内分泌紊乱或代谢障碍引起的疾病","D：临床所见肥胖症绝大多数为单纯性肥胖,可伴有器质性疾病"
"Question: 自我血糖监测(SMBG)最理想的方法是
Option A: 指尖毛细血管血糖检测
Option B: 尿糖检测
Option C: 糖化血红蛋白检测
Option D: 静脉空腹血糖检测
Option E: 空腹胰岛素检测",A：指尖毛细血管血糖检测
"Question: 不会引起糖耐量异常的疾病为
Option A: 甲状腺功能亢进症(简称甲亢)
Option B: 痛风
Option C: 肢端肥大症
Option D: 皮质醇增多症
Option E: 嗜铬细胞瘤",B：痛风
"Question: 糖尿病的基本病理生理改变是
Option A: 葡萄糖耐量减少
Option B: 生长激素分泌过多
Option C: 胰高血糖素分泌过多
Option D: 胰岛素绝对或相对分泌不足
Option E: 糖类肾上腺皮质激素分泌过多",D：胰岛素绝对或相对分泌不足
"Question: 糖尿病控制不良者主要发生()脂代谢紊乱
Option A: 高胆固醇
Option B: 高甘油三酯
Option C: 高低密度脂蛋白
Option D: 低高密度脂蛋白
Option E: 高α脂蛋白",B：高甘油三酯
"Question: 与胰岛素合用可造成严重低血糖反应的药物是
Option A: 水杨酸钠
Option B: 氯丙嗪
Option C: 普萘洛尔
Option D: 氯噻嗪
Option E: 硫脲类药",C：普萘洛尔
"Question: 关于糖尿病的诊断标准,下列叙述正确的是
Option A: 空腹血浆葡萄糖水平≥11.1mmol/L
Option B: OGTT中,2小时 PG水平≥11.1mmol/L
Option C: 糖尿病的症状
Option D: 任意时间血浆葡萄糖水平≥11.1mmol/L
Option E: 以上都不是","B：OGTT中,2小时 PG水平≥11.1mmol/L"
"Question: 2型糖尿病最关键的预防措施是
Option A: 早期筛查出糖耐量减低(IGT)
Option B: 防止肥胖
Option C: 加强糖尿病教育
Option D: 饮食治疗
Option E: 早期使用药物干预",A：早期筛查出糖耐量减低(IGT)
"Question: 下列指标中能反映下丘脑-垂体-甲状腺轴功能的是
Option A: 氨酸三碘甲腺原(TT?)、总甲状腺素(TT?)
Option B: 促甲状腺激素(TSH)
Option C: TT?、游离甲状腺素(FT?)
Option D: TT?、游离三碘甲腺原氨酸(FT?)
Option E: FT?、FT?",B：促甲状腺激素(TSH)
"Question: 对于功能性低血糖的胰岛素瘤患者,为减少低血糖发作,下列饮食调整不正确的是
Option A: 少食多餐
Option B: 避免吸收快的糖类
Option C: 高蛋白质饮食
Option D: 高脂肪饮食
Option E: 低纤维饮食",E：低纤维饮食
"Question: 应用磺脲类药物进行治疗时,被称为“原发性失效”的治疗时间是
Option A: 2 周内
Option B: 1个月内
Option C: 2个月内
Option D: 3个月内
Option E: 半年内",B：1个月内
"Question: 继发性痛风的治疗主要是针对原发病的病因,降低尿酸药物首选
Option A: 别嘌醇
Option B: 螺内酯
Option C: 呋塞米
Option D: 碳酸氢钠
Option E: 乙酰唑胺",A：别嘌醇
"Question: 肥胖性代谢综合征患者生活方式的改变不包括
Option A: 减轻体重
Option B: 增加蔬菜、水果和鲜奶的摄入
Option C: 戒烟
Option D: 增加微量元素的摄入
Option E: 低盐饮食",D：增加微量元素的摄入
"Question: 反应性低血糖最常见于
Option A: 2 型糖尿病早期
Option B: 倾倒综合征
Option C: 果糖不耐受症
Option D: 胰岛素瘤
Option E: 特发性功能性低血糖症",A：2 型糖尿病早期
"Question: 关于代谢综合征的典型血脂谱,下列描述正确的是
Option A: 低甘油三酯
Option B: 高密度脂蛋白胆固醇(HDL-C)
Option C: 低密度脂蛋白胆固醇(LDL-C)显著增高
Option D: 小而密 LDL-C 颗粒增加
Option E: 以上都正确",D：小而密 LDL-C 颗粒增加
"Question: 肥胖或超重的2型糖尿病患者在调整饮食和运动不能满意控制血糖,并且伴有代谢综合
征或其他心血管疾病危险因素,可优先选用
Option A: 二甲双胍
Option B: 甲苯磺丁脲
Option C: 阿卡波糖
Option D: 胰岛素
Option E: 依帕司他",A：二甲双胍
"Question: 应用二甲双胍时,下列叙述不正确的是
Option A: 诱发乳酸性酸中毒
Option B: 易见胃肠道反应
Option C: 偶可有皮疹
Option D: 肥胖者不宜使用
Option E: 肝、肾功能不全者禁忌使用",D：肥胖者不宜使用
"Question: 诊断痛风主要根据的生化指标是
Option A: 红细胞沉降率增快
Option B: 血脂高
Option C: 肾功能不良
Option D: 血尿酸高
Option E: 类风湿因子阳性",D：血尿酸高
"Question: 下列关于脂肪酶抑制药的叙述,正确的是
Option A: 选择性地抑制胃肠道脂肪酶
Option B: 作用于5-羟色胺通路
Option C: 不良反应有便秘
Option D: 可以降低食欲
Option E: 同时抑制胰蛋白酶、淀粉酶和磷酸酯酶",A：选择性地抑制胃肠道脂肪酶
"Question: 2型糖尿病发病机制的2个基本环节为
Option A: 高胰岛素血症和胰岛素抵抗
Option B: 高胰岛素血症和糖耐量减低
Option C: 胰岛素分泌缺陷和胰岛素抵抗
Option D: 胰岛素抵抗和糖耐量减低
Option E: 高胰岛素血症和糖耐量增高",C：胰岛素分泌缺陷和胰岛素抵抗
"Question: 貌似健康而有自发性空腹或运动后低血糖症的原因中最常见的是
Option A: 药源性低血糖症
Option B: 胰岛素瘤
Option C: 伴瘤的低血糖
Option D: 反应性低血糖
Option E: 胰岛素自身免疫综合征",B：胰岛素瘤
"Question: 下列关于糖尿病非酮症高渗性昏迷的叙述,不正确的是
Option A: 神经精神症状突出
Option B: 多见于老年人,好发年龄为50￣70岁
Option C: 血糖可高至33.3mmol/L以上
Option D: 因血浆渗透压增高明显,故补液时应先输低张生理盐水
Option E: 约 2/3 患者起病隐匿,进展缓慢,或仅有轻度症状","D：因血浆渗透压增高明显,故补液时应先输低张生理盐水"
"Question: 糖尿病酮症酸中毒患者,经小剂量胰岛素、补液、补碱等治疗后,出现心悸、期前收
缩、乏力,其正确的处理措施为
Option A: 脱水
Option B: 补钾
Option C: 普萘洛尔
Option D: 补钙
Option E: 肾上腺素",B：补钾
"Question: 以下脂蛋白中,分子量最大的是
Option A: 低密度脂蛋白
Option B: 高密度脂蛋白
Option C: 极低密度脂蛋白
Option D: 乳糜微粒
Option E: 以上都不是",D：乳糜微粒
"Question: 糖尿病的高血糖是由于
Option A: 胰岛素分泌缺陷
Option B: 胰岛素作用缺陷
Option C: 糖异生增加
Option D: 胰岛素分泌缺陷和作用缺陷
Option E: 胰岛素作用缺陷和糖异生增加",D：胰岛素分泌缺陷和作用缺陷
